epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.319,1.84633,2.53575,1.31697,0.55018,0.49456,0.49887,0.26119,1.61689,1.78358,1.3469,0.000554148,0.000554148,0.000554148
2,325.086,1.83098,1.89085,1.36194,0.59304,0.50152,0.54266,0.2849,1.66066,1.53109,1.34251,0.000999943,0.000999943,0.000999943
3,479.039,1.76182,1.70551,1.34392,0.64889,0.54012,0.58656,0.31263,1.56237,1.49685,1.32098,0.00133572,0.00133572,0.00133572
4,636.555,1.72388,1.52498,1.32896,0.68079,0.63633,0.686,0.38476,1.4591,1.23956,1.26585,0.0011719,0.0011719,0.0011719
5,790.217,1.64241,1.39431,1.28368,0.64867,0.64369,0.67875,0.38834,1.47056,1.23347,1.25513,0.00100687,0.00100687,0.00100687
6,932.649,1.56228,1.27649,1.24728,0.76046,0.6221,0.72074,0.41465,1.41208,1.14389,1.21884,0.000841835,0.000841835,0.000841835
7,1074.05,1.51108,1.18919,1.20073,0.72814,0.66773,0.73547,0.42635,1.34914,1.04065,1.1807,0.000676802,0.000676802,0.000676802
8,1217.17,1.4737,1.17516,1.18464,0.73434,0.66709,0.74659,0.43781,1.31874,1.05608,1.17266,0.000511769,0.000511769,0.000511769
9,1363.03,1.41914,1.09406,1.14676,0.71148,0.71126,0.77313,0.46332,1.29441,0.97929,1.15056,0.000346736,0.000346736,0.000346736
10,1522.82,1.37856,1.04295,1.12722,0.73357,0.70949,0.7809,0.48238,1.25569,0.95111,1.13915,0.000181703,0.000181703,0.000181703
